# {"t_start": 1568036757.2229385, "env_id": "Pendulum-v0"} 
obnow,action,obnext,reward
[-3.32022567e-01 -1.63356763e-05],[1.6297753],[ 9.45385010e-01 -3.25955799e-01 -1.63356763e-05],-0.11289461027991379
[-6.64775441e+00 -5.55940169e-06],[1.7827326],[ 9.34277483e-01 -3.56546749e-01 -5.55940169e-06],-0.13608856242347964
[-33.38235549  -5.77764438],[-0.94417614],[-0.38539203 -0.92275294 -5.77764438],-5.20654548997451
[ 5.90821983e+00 -5.66119963e-06],[1.8312011],[ 9.30520264e-01 -3.66240410e-01 -5.66119963e-06],-0.14395219790182423
[-6.65982182e+00 -5.84247389e-06],[1.8389724],[ 9.29906968e-01 -3.67794823e-01 -5.84247389e-06],-0.1452366601941658
[-6.63374028e+00 -1.07952829e-05],[1.7170932],[ 9.39182270e-01 -3.43419079e-01 -1.07952829e-05],-0.12583681823244053
[-13.05335048  -0.25522401],[1.9999993],[ 0.88375018 -0.46795898 -0.25522401],-0.2334092278506487
[ 5.88934412e+00 -1.12168731e-05],[1.9186893],[ 9.23441865e-01 -3.83738350e-01 -1.12168731e-05],-0.15879180687873645
[-3.80612116e-01 -7.41074088e-06],[1.8574429],[ 9.28437415e-01 -3.71488851e-01 -7.41074088e-06],-0.14831539511210326
[-6.61987411e+00 -1.08273455e-05],[1.6518153],[ 9.43853736e-01 -3.30363627e-01 -1.08273455e-05],-0.11608748175823809
[-27.17503342  -5.21015069],[0.4069891],[-0.45421944 -0.89088984 -5.21015069],-5.234112985190369
[-6.51497268 -0.63862242],[1.8174242],[ 0.97325736 -0.22971747 -0.63862242],-0.1013617369676897
[-3.88025157e-01 -7.79837737e-06],[1.8918043],[ 9.25658068e-01 -3.78361124e-01 -7.79837737e-06],-0.1541421431392427
[-6.64757550e+00 -7.53077104e-06],[1.7818962],[ 9.34341259e-01 -3.56379588e-01 -7.53077104e-06],-0.1359550887743244
[-3.91521676e-01 -1.12168629e-05],[1.9079741],[ 9.24329466e-01 -3.81595386e-01 -1.12168629e-05],-0.15692914891056697
[-6.74816452 -0.18068674],[1.9999996],[ 0.89383089 -0.44840422 -0.18068674],-0.21414935867479665
[ 5.90684261e+00 -6.52153368e-06],[1.837606],[ 9.30014991e-01 -3.67521586e-01 -6.52153368e-06],-0.14501037425512123
[-31.54067345  -1.23122123],[1.9941859],[ 0.99222919 -0.12442361 -1.23122123],-0.2278955349431568
[-19.00341941  -1.05817942],[1.9140981],[ 0.98818635 -0.15325712 -1.05817942],-0.1750711236486568
[ 5.88619668e+00 -9.60188047e-06],[1.9332125],[ 9.22229499e-01 -3.86642923e-01 -9.60188047e-06],-0.16133690016872096
[ 5.90944140e+00 -5.38105098e-06],[1.8255167],[ 9.30966961e-01 -3.65103434e-01 -5.38105098e-06],-0.14301681587863174
[-3.91420482e-01 -7.39711143e-06],[1.9075073],[ 9.24368076e-01 -3.81501848e-01 -7.39711143e-06],-0.1568482883830828
[-3.89330556e-01 -7.04211113e-06],[1.8978444],[ 9.25163368e-01 -3.79569155e-01 -7.04211113e-06],-0.15517982083864457
[ 6.02958657e+00 -3.64067196e-06],[1.2544453],[ 9.68015809e-01 -2.50889206e-01 -3.64067196e-06],-0.06588585790796957
[ 5.89779033e+00 -6.50234604e-06],[1.8796248],[ 9.26650022e-01 -3.75925175e-01 -6.50234604e-06],-0.15206202993522142
[-6.67843577e+00 -1.89755458e-05],[1.9251924],[ 9.22900155e-01 -3.85039355e-01 -1.89755458e-05],-0.15992854547448568
[-3.91608428e-01 -7.73729482e-06],[1.9083765],[ 9.24296358e-01 -3.81675573e-01 -7.73729482e-06],-0.15699875873644578
[-6.66734660e+00 -6.63465012e-06],[1.8739064],[ 9.27113091e-01 -3.74781692e-01 -6.63465012e-06],-0.1510911692925634
[-3.96521625e-01 -8.29250598e-06],[1.9310594],[ 9.22409962e-01 -3.86212197e-01 -8.29250598e-06],-0.16095806036111407
[ 5.90476151e+00 -1.01156127e-05],[1.847279],[ 9.29248129e-01 -3.69456242e-01 -1.01156127e-05],-0.1466166242304774
[-17.66614217  -5.90199249],[1.7539413],[ 0.37776623  0.92590101 -5.90199249],-6.966503770397299
[-3.65918026e-01 -4.95478520e-06],[1.7890334],[ 9.33795679e-01 -3.57806694e-01 -4.95478520e-06],-0.13709646085921465
[-37.95547674  -0.99433822],[1.9998051],[ 0.96731811 -0.25356593 -0.99433822],-0.17675923413947922
[-3.80838249e-01 -6.33988288e-06],[1.8584919],[ 9.28353386e-01 -3.71698791e-01 -6.33988288e-06],-0.14849152227751738
[-12.93952411  -0.20386384],[1.9968183],[ 0.93118236 -0.36455372 -0.20386384],-0.14134930187166603
[ 5.88798741e+00 -1.33721589e-05],[1.9249512],[ 9.22920393e-01 -3.84990841e-01 -1.33721589e-05],-0.15988628784184175
[-3.77999250e-01 -6.41987212e-06],[1.8453075],[ 9.29404896e-01 -3.69061702e-01 -6.41987212e-06],-0.14628834981127384
[-3.88037471e-01 -5.97402653e-06],[1.8918617],[ 9.25653409e-01 -3.78372523e-01 -5.97402653e-06],-0.15415198752998893
[-3.56486631e-01 -5.95700095e-06],[1.7449186],[ 9.37128714e-01 -3.48983915e-01 -5.95700095e-06],-0.1301272467764394
[-3.69912853e-01 -7.14626018e-06],[1.80767],[ 9.32358856e-01 -3.61534181e-01 -7.14626018e-06],-0.14010292511062236
[-6.66228845e+00 -8.82396599e-06],[1.8504351],[ 9.28996924e-01 -3.70087443e-01 -8.82396599e-06],-0.1471429703875986
[-3.96311671e-01 -9.11418061e-06],[1.9300905],[ 9.22491029e-01 -3.86018525e-01 -9.11418061e-06],-0.16078782880661893
[-3.93537068e-01 -8.49017307e-06],[1.9172856],[ 9.23558525e-01 -3.83457496e-01 -8.49017307e-06],-0.15854707339478927
[-1.29432513e+01 -6.19035710e-06],[1.8401079],[ 9.2981713e-01 -3.6802188e-01 -6.1903571e-06],-0.14542482080317654
[-19.25972417  -0.06548407],[1.9998655],[ 0.91705375 -0.39876363 -0.06548407],-0.17003343470410542
[-6.67787166e+00 -8.94023822e-06],[1.9225912],[ 9.23117213e-01 -3.84518674e-01 -8.94023822e-06],-0.15947332093583882
[-33.924569    -6.59170976],[-1.884802],[-0.8062859  -0.59152603 -6.59170976],-7.993444031257255
[-1.29684277e+01 -5.92786739e-03],[1.9576955],[ 0.92025799 -0.3913122  -0.00592787],-0.165248177497399
[-3.99615346e-01 -1.28293312e-05],[1.945317],[ 9.21210717e-01 -3.89064023e-01 -1.28293312e-05],-0.16347617025053243
[-39.72195169  -5.37624121],[-1.1623663],[-0.43680471 -0.89955636 -5.37624121],-5.071088138299693
[-19.11512204  -0.6168602 ],[1.9894024],[ 0.96494407 -0.26245559 -0.6168602 ],-0.11393709407852522
[-3.93004508e-01 -7.54000408e-06],[1.914826],[ 9.23762608e-01 -3.82965592e-01 -7.54000408e-06],-0.15811880612209164
[-25.39321467  -0.57290506],[1.8239255],[ 0.96626816 -0.25753805 -0.57290506],-0.10252234114072117
[ 5.91511883e+00 -5.63823048e-06],[1.7990592],[ 9.33024794e-01 -3.59812082e-01 -5.63823048e-06],-0.1387093383985346
[-3.83906937e-01 -8.84288042e-06],[1.8727273],[ 9.27208389e-01 -3.74545863e-01 -8.84288042e-06],-0.15089130412260152
[-3.60098329e-01 -5.05720154e-06],[1.76183],[ 9.35862180e-01 -3.52366258e-01 -5.05720154e-06],-0.13277466964825277
[-3.73643159e-01 -6.70792146e-06],[1.8250467],[ 9.31003739e-01 -3.65009641e-01 -6.70792146e-06],-0.14293975485833238
[-6.65753849e+00 -5.60250517e-06],[1.8283526],[ 9.30744339e-01 -3.65670583e-01 -5.60250517e-06],-0.14348296752175416
[-1.29255492e+01 -5.17225917e-06],[1.7575253],[ 9.36185862e-01 -3.51505380e-01 -5.17225917e-06],-0.1320979847921324
[-6.67594679e+00 -6.87869083e-06],[1.9137036],[ 9.23855650e-01 -3.82741084e-01 -6.87869083e-06],-0.15792357493755915
[-3.74219485e-01 -6.45179639e-06],[1.8277292],[ 9.30793219e-01 -3.65546143e-01 -6.45179639e-06],-0.14338057600003426
[-19.09842972  -0.6162387 ],[1.8596169],[ 0.96919043 -0.24631261 -0.6162387 ],-0.10472748021555099
[-3.97276967e-01 -7.94458605e-06],[1.9345423],[ 9.22117977e-01 -3.86908822e-01 -7.94458605e-06],-0.16157112665311002
[-3.70932647e-01 -5.34823672e-06],[1.8124224],[ 9.31989681e-01 -3.62484807e-01 -5.34823672e-06],-0.14087570511091296
[-3.84581380e-01 -6.16739841e-06],[1.875855],[ 9.26955568e-01 -3.75171128e-01 -6.16739841e-06],-0.15142143281697695
[-6.67296502e+00 -8.10174390e-06],[1.8999215],[ 9.24992789e-01 -3.79984657e-01 -8.10174390e-06],-0.1555376077771663
[ 5.89869826e+00 -6.27808096e-06],[1.8754159],[ 9.26990956e-01 -3.75083681e-01 -6.27808096e-06],-0.1513472311592373
[-3.90003444e-01 -8.71379468e-06],[1.9009563],[ 9.24907751e-01 -3.80191600e-01 -8.71379468e-06],-0.15571598092219666
[-6.66133498e+00 -5.64468033e-06],[1.8460069],[ 9.29349369e-01 -3.69201504e-01 -5.64468033e-06],-0.14640470464900016
[-3.91137339e-01 -7.27672949e-06],[1.9061987],[ 9.24476059e-01 -3.81240104e-01 -7.27672949e-06],-0.1566217268606171
[-3.85854119e-01 -6.07426524e-06],[1.8817513],[ 9.26477322e-01 -3.76350596e-01 -6.07426524e-06],-0.15242415488907743
[-19.27107848  -0.04741709],[1.9993644],[ 0.91246704 -0.40915022 -0.04741709],-0.17986270597425866
[-6.67727062e+00 -8.34456214e-06],[1.9198169],[ 9.23348156e-01 -3.83963779e-01 -8.34456214e-06],-0.15898860483854163
[-3.90884843e-01 -7.49526491e-06],[1.9050324],[ 9.24572291e-01 -3.81006665e-01 -7.49526491e-06],-0.15641981571018593
[-28.09891274  -7.96662387],[-1.9824058],[-0.98465313 -0.17452283 -7.96662387],-11.871648777462154
[-25.53063515  -0.13979239],[1.9976058],[ 0.9218791  -0.38747765 -0.13979239],-0.15915788717697602
[-6.66084740e+00 -6.42187714e-06],[1.8437408],[ 9.29529275e-01 -3.68748325e-01 -6.42187714e-06],-0.14602779291251622
[-3.86276763e-01 -6.32152243e-06],[1.8837085],[ 9.26318177e-01 -3.76742132e-01 -6.32152243e-06],-0.1527578511611178
[-33.50742761  -5.73294602],[-0.76368135],[-0.49749161 -0.86746879 -5.73294602],-5.648159702935915
[ 5.96515884e+00 -1.40477192e-05],[1.5634593],[ 9.49854375e-01 -3.12692606e-01 -1.40477192e-05],-0.10358479448901835
[-3.99163164e-01 -9.56694759e-06],[1.9432348],[ 9.21386551e-01 -3.88647429e-01 -9.56694759e-06],-0.1631070111862678
[-6.65417091e+00 -6.76202928e-06],[1.8126696],[ 9.31970485e-01 -3.62534157e-01 -6.76202928e-06],-0.1409158345665508
[-19.33510543  -1.40252743],[0.93640095],[ 0.88441863 -0.46669442 -1.40252743],-0.3272888109031411
[-18.99199706  -1.09454955],[1.8872023],[ 0.9898724  -0.14195996 -1.09454955],-0.18337097964483504
[-3.93838477e-01 -8.02197146e-06],[1.9186777],[ 9.23442905e-01 -3.83735848e-01 -8.02197146e-06],-0.15878975423192904
[-6.56311294e+00 -5.60657495e-06],[1.3814292],[ 9.61075435e-01 -2.76286097e-01 -5.60657495e-06],-0.0802676683852847
[ 5.90182144e+00 -5.56852124e-06],[1.8609324],[ 9.28157886e-01 -3.72186698e-01 -5.56852124e-06],-0.1489012552208328
[-3.82610037e-01 -7.82162348e-06],[1.8667134],[ 9.27693357e-01 -3.73343052e-01 -7.82162348e-06],-0.1498747600592511
[-35.22180628  -8.        ],[-1.9590274],[-0.78735649  0.61649798 -8.        ],-14.711989838321863
[-3.94054932e-01 -7.05485969e-06],[1.9196768],[ 9.23359822e-01 -3.83935723e-01 -7.05485969e-06],-0.15896417042312613
[-6.66046346e+00 -5.75834206e-06],[1.8419553],[ 9.29670784e-01 -3.68391414e-01 -5.75834206e-06],-0.1457313854049446
[-12.94491083  -0.15748072],[1.98418],[ 0.92920511 -0.36956442 -0.15748072],-0.14469505637946492
[-6.57045065e+00 -5.86174556e-06],[1.4166515],[ 9.59022272e-01 -2.83330692e-01 -5.86174556e-06],-0.08452811121626548
[ 5.90012937e+00 -6.62760985e-06],[1.8687826],[ 9.27526793e-01 -3.73756670e-01 -6.62760985e-06],-0.1502239425502007
[ 5.90689364e+00 -5.55362538e-06],[1.8373692],[ 9.30033743e-01 -3.67474130e-01 -5.55362538e-06],-0.1449711356468309
[-31.43399912  -1.6336775 ],[1.7542641],[ 0.9998367 -0.0180716 -1.6336775],-0.3852293060248654
[-3.76557139e-01 -5.58244219e-06],[1.8386039],[ 9.29936157e-01 -3.67721014e-01 -5.58244219e-06],-0.1451755324877868
[-3.74947017e-01 -5.07801364e-06],[1.8311154],[ 9.30527027e-01 -3.66223228e-01 -5.07801364e-06],-0.14393805880619626
[-39.3868808   -4.94751696],[0.3945733],[-0.11670606 -0.9931665  -4.94751696],-3.8922652437881347
[-3.24617953e-01 -1.60271583e-05],[1.5947297],[ 9.47772648e-01 -3.18946715e-01 -1.60271583e-05],-0.10791945761499482
[-3.67994431e-01 -5.28547567e-06],[1.7987232],[ 9.33050715e-01 -3.59744859e-01 -5.28547567e-06],-0.13865511216879345
[-3.91261791e-01 -6.69609343e-06],[1.9067733],[ 9.24428605e-01 -3.81355154e-01 -6.69609343e-06],-0.15672131185525265
[-6.67176549e+00 -6.85238267e-06],[1.8943719],[ 9.25447925e-01 -3.78874831e-01 -6.85238267e-06],-0.1545829373721789
[-3.94821589e-01 -8.07486337e-06],[1.9232153],[ 9.23065204e-01 -3.84643510e-01 -8.07486337e-06],-0.15958252496125358
[ 5.88949699e+00 -7.17773419e-06],[1.9179846],[ 9.23500515e-01 -3.83597184e-01 -7.17773419e-06],-0.15866887703010993
[-6.63926814e+00 -7.36667028e-06],[1.7430258],[ 9.37269557e-01 -3.48605474e-01 -7.36667028e-06],-0.1298328593267563
[-25.0013513   -1.87937337],[1.8801839],[ 0.99138075  0.13101222 -1.87937337],-0.5967423743707725
[-6.66215183e+00 -6.33593358e-06],[1.849801],[ 9.29047478e-01 -3.69960517e-01 -6.33593358e-06],-0.14703714796351794
[-6.65916165e+00 -6.44545467e-06],[1.835903],[ 9.30149571e-01 -3.67180848e-01 -6.44545467e-06],-0.14472850771799134
[ 5.90342891e+00 -7.63315069e-06],[1.8534698],[ 9.28754965e-01 -3.70694233e-01 -7.63315069e-06],-0.1476499817809825
[-6.68096997e+00 -1.17952675e-05],[1.9368823],[ 9.21921425e-01 -3.87376930e-01 -1.17952675e-05],-0.1619836840340206
[-3.59437440e-01 -6.25133723e-06],[1.7587371],[ 9.36094851e-01 -3.51747680e-01 -6.25133723e-06],-0.13228820500500976
[-3.66321855e-01 -4.95404581e-06],[1.7909179],[ 9.33651110e-01 -3.58183758e-01 -4.95404581e-06],-0.1373989066199802
[ 5.91111404e+00 -5.39056685e-06],[1.8177273],[ 9.31576345e-01 -3.63545752e-01 -5.39056685e-06],-0.1417409584068185
[-6.61064468e+00 -4.50811479e-06],[1.6081911],[ 9.46862562e-01 -3.21638443e-01 -4.50811479e-06],-0.10981577077502981
[-4.01724670e-01 -1.37741065e-05],[1.9550282],[ 9.20388006e-01 -3.91006289e-01 -1.37741065e-05],-0.165204292579672
[-2.78952465e-01 -6.35217199e-06],[1.3767418],[ 9.61344403e-01 -2.75348758e-01 -6.35217199e-06],-0.07970971821973058
[-3.57888306e-01 -5.24885787e-06],[1.7514843],[ 9.36638632e-01 -3.50297122e-01 -5.24885787e-06],-0.1311515489905369
[-2.57905172e-01 -3.79273484e-06],[1.2752768],[ 9.66926397e-01 -2.55055568e-01 -3.79273484e-06],-0.0681413107732665
[-3.90589922e-01 -7.87946265e-06],[1.9036683],[ 9.24684618e-01 -3.80733973e-01 -7.87946265e-06],-0.15618413209240964
[ 5.89892818e+00 -6.85127752e-06],[1.8743509],[ 9.27077168e-01 -3.74870543e-01 -6.85127752e-06],-0.15116647079954085
[-44.96417498  -3.3265679 ],[1.6652228],[ 0.55546203 -0.8315419  -3.3265679 ],-1.586150242718835
[-3.48375459e-01 -7.08349203e-06],[1.7068552],[ 9.39928525e-01 -3.41371306e-01 -7.08349203e-06],-0.12427856811625766
[-6.71380184 -0.06651944],[1.9999077],[ 0.90870856 -0.41743113 -0.06651944],-0.18688711283558684
[-31.71800407  -0.55917949],[1.9998802],[ 0.95472048 -0.29750431 -0.55917949],-0.12219216395576901
[-19.29659766  -0.55826751],[1.9999983],[ 0.9017299  -0.43229988 -0.55826751],-0.21025433957084744
[ 5.90727257e+00 -5.82128107e-06],[1.8356078],[ 9.30172924e-01 -3.67121684e-01 -5.82128107e-06],-0.1446796219962428
[-6.67009318e+00 -1.11923019e-05],[1.8866307],[ 9.26080226e-01 -3.77326669e-01 -1.11923019e-05],-0.15325664681455783
[ 5.89317291e+00 -6.70603442e-06],[1.9009984],[ 9.24904348e-01 -3.80199877e-01 -6.70603442e-06],-0.1557231993322352
[-1.29464413e+01 -5.90030678e-06],[1.8549286],[ 9.28638406e-01 -3.70986134e-01 -5.90030678e-06],-0.14789428032742163
[-3.82588218e-01 -7.59410088e-06],[1.8666126],[ 9.27701503e-01 -3.73322811e-01 -7.59410088e-06],-0.1498576965705143
[-12.99806706  -0.07892692],[1.9999802],[ 0.90825724 -0.41841221 -0.07892692],-0.18742982443746628
[-6.66482543e+00 -5.32726677e-06],[1.8622141],[ 9.28055033e-01 -3.72443091e-01 -5.32726677e-06],-0.14911681935537155
[-4.00572077e-01 -1.02472979e-05],[1.9497237],[ 9.20838066e-01 -3.89945196e-01 -1.02472979e-05],-0.16425900071141786
[ 5.89584712e+00 -6.80582097e-06],[1.8886241],[ 9.25917772e-01 -3.77725138e-01 -6.80582097e-06],-0.1535975099816381
[-6.68684032e+00 -1.27693860e-05],[1.9639087],[ 9.19631517e-01 -3.92782221e-01 -1.27693860e-05],-0.16679378909675804
[-3.75493211e-01 -5.98059796e-06],[1.8336556],[ 9.30326859e-01 -3.66731421e-01 -5.98059796e-06],-0.144357219763024
[-21.7542418  -8.       ],[-1.9783738],[-0.97206859 -0.23469693 -8.        ],-11.570310035645312
[-6.67567383e+00 -1.05571059e-05],[1.9124421],[ 9.23960091e-01 -3.82488888e-01 -1.05571059e-05],-0.15770425722816353
[-3.10872617e-01 -7.94034878e-06],[1.5294455],[ 9.52067008e-01 -3.05889542e-01 -7.94034878e-06],-0.09898074067820765
[ 5.89811430e+00 -5.65312793e-06],[1.8781234],[ 9.26771763e-01 -3.75624946e-01 -5.65312793e-06],-0.15180681117317046
[ 5.94881832e+00 -1.39170567e-05],[1.6408522],[ 9.44618236e-01 -3.28171280e-01 -1.39170567e-05],-0.11449321236282146
[ 5.88255245e+00 -9.60301362e-06],[1.9500036],[ 9.20814363e-01 -3.90001166e-01 -9.60301362e-06],-0.16430881701382305
[-4.00802407e-01 -9.30839413e-06],[1.9507843],[ 9.20748226e-01 -3.90157282e-01 -9.30839413e-06],-0.16444775562976288
[-6.66203758e+00 -5.18786875e-06],[1.8492697],[ 9.29089741e-01 -3.69854368e-01 -5.18786875e-06],-0.1469486438787224
[ 5.89943526e+00 -5.42462703e-06],[1.8720012],[ 9.27267139e-01 -3.74400390e-01 -5.42462703e-06],-0.15076827948443391
[-1.28908360e+01 -8.19265477e-06],[1.5940087],[ 9.47821295e-01 -3.18802121e-01 -8.19265477e-06],-0.10781838983585057
[-19.0570093   -0.82317894],[1.9181575],[ 0.97855861 -0.20596856 -0.82317894],-0.12870186266749853
[ 5.90403745e+00 -5.17064764e-06],[1.8506452],[ 9.28980377e-01 -3.70128976e-01 -5.17064764e-06],-0.14717778627316525
[-9.68567447 -8.        ],[-1.4902062],[-0.96615911  0.25794683 -8.        ],-15.007019193149084
[-3.81521467e-01 -5.23022616e-06],[1.8616638],[ 9.28099218e-01 -3.72332972e-01 -5.23022616e-06],-0.14902422225014425
[-6.68146807e+00 -7.50770507e-06],[1.939179],[ 9.21728360e-01 -3.87836088e-01 -7.50770507e-06],-0.16238927460354444
[-3.92649011e-01 -6.89468111e-06],[1.913184],[ 9.23898693e-01 -3.82637173e-01 -6.89468111e-06],-0.1578332483662987
[-6.68215761e+00 -9.42557694e-06],[1.9423554],[ 9.21460713e-01 -3.88471562e-01 -9.42557694e-06],-0.1629512642346412
[-12.9495352   -0.12429707],[1.9984138],[ 0.92748618 -0.37385745 -0.12429707],-0.1482749994296674
[-3.96583103e-01 -7.60569375e-06],[1.9313428],[ 9.22386217e-01 -3.86268904e-01 -7.60569375e-06],-0.16100794083003403
[ 5.91982064e+00 -4.21414886e-06],[1.7771047],[ 9.34706242e-01 -3.55421217e-01 -4.21414886e-06],-0.13519183155166303
[-25.57012259  -0.26622481],[1.999999],[ 0.90586394 -0.42356879 -0.26622481],-0.1904722507403366
[-12.96173871  -0.09823967],[1.9910522],[ 0.92285485 -0.38514792 -0.09823967],-0.15766215094557504
[-3.87464831e-01 -6.25165889e-06],[1.889211],[ 9.25869928e-01 -3.77842395e-01 -6.25165889e-06],-0.15369787152794567
[-3.90678965e-01 -5.94509164e-06],[1.904081],[ 9.24650712e-01 -3.80816309e-01 -5.94509164e-06],-0.15625534619471915
[-28.45625598  -8.        ],[-1.9110287],[-0.98349776  0.18092028 -8.        ],-14.814917217126915
[ 5.90948261e+00 -4.72080108e-06],[1.8253236],[ 9.30982005e-01 -3.65065072e-01 -4.72080108e-06],-0.14298533612171105
[-6.65457337e+00 -6.07228676e-06],[1.8145448],[ 9.31824501e-01 -3.62909215e-01 -6.07228676e-06],-0.14122144292609828
[-6.66410457e+00 -4.84328864e-06],[1.8588688],[ 9.28323271e-01 -3.71773995e-01 -4.84328864e-06],-0.14855469033877305
[-3.92325561e-01 -6.88431943e-06],[1.9116898],[ 9.24022408e-01 -3.82338317e-01 -6.88431943e-06],-0.15757363324948764
[-6.67934551e+00 -8.18238950e-06],[1.929392],[ 9.22549489e-01 -3.85878789e-01 -8.18238950e-06],-0.16066513239953992
[-3.65617778e-01 -4.79738850e-06],[1.7876313],[ 9.33903067e-01 -3.57526307e-01 -4.79738850e-06],-0.1368718097995335
[-3.76022335e-01 -4.70461040e-06],[1.8361164],[ 9.30132682e-01 -3.67223628e-01 -4.70461040e-06],-0.1447639433220061
[-3.67132251e-01 -5.06726376e-06],[1.7947003],[ 9.33360533e-01 -3.58940268e-01 -5.06726376e-06],-0.1380068526009333
[-3.85874589e-01 -5.66712467e-06],[1.8818462],[ 9.26469619e-01 -3.76369560e-01 -5.66712467e-06],-0.1524403245437537
[-6.67149115e+00 -5.95375766e-06],[1.893103],[ 9.25551831e-01 -3.78620930e-01 -5.95375766e-06],-0.15436503585461597
[ 5.90133670e+00 -7.06281047e-06],[1.8631816],[ 9.27977364e-01 -3.72636569e-01 -7.06281047e-06],-0.1492795336075498
[ 5.89399008e+00 -6.44966837e-06],[1.8972178],[ 9.25214725e-01 -3.79443951e-01 -6.44966837e-06],-0.15507210964836188
[-6.65581450e+00 -4.72561107e-06],[1.820326],[ 9.31373368e-01 -3.64065446e-01 -4.72561107e-06],-0.1421659247345544
[-6.66866390e+00 -6.90172493e-06],[1.8800116],[ 9.26618585e-01 -3.76002657e-01 -6.90172493e-06],-0.15212792661791846
[-6.67134310e+00 -5.95582429e-06],[1.8924189],[ 9.25607875e-01 -3.78483900e-01 -5.95582429e-06],-0.15424749281956873
[-13.01787624  -0.13546063],[1.9999985],[ 0.89979119 -0.43632078 -0.13546063],-0.20305941407644615
[-19.19474276  -0.31766456],[1.9972869],[ 0.94101225 -0.3383725  -0.31766456],-0.1264714954229992
[-7.92696088 -4.88011964],[-0.1363233],[-0.07291448 -0.9973382  -4.88011964],-3.6573188336027314
[-3.61941523e-01 -6.45101256e-06],[1.7704518],[ 9.35211112e-01 -3.54090633e-01 -6.45101256e-06],-0.13413593193260354
[-19.27794979  -0.14372415],[1.9999757],[ 0.90963413 -0.41541035 -0.14372415],-0.18329470914971252
[-6.64078836e+00 -6.95476572e-06],[1.7501483],[ 9.36738517e-01 -3.50029930e-01 -6.95476572e-06],-0.13094271483016479
[-6.64504803e+00 -4.74907189e-06],[1.770084],[ 9.35239011e-01 -3.54016938e-01 -4.74907189e-06],-0.13407765592080517
[ 5.92741762e+00 -9.24139008e-06],[1.7415478],[ 9.37379372e-01 -3.48310082e-01 -9.24139008e-06],-0.1296033070658598
[-6.66570496e+00 -5.70680552e-06],[1.8662957],[ 9.27727099e-01 -3.73259200e-01 -5.70680552e-06],-0.14980412426202872
[-24.95588389  -2.3740689 ],[1.4838871],[ 0.98440146  0.17593681 -2.3740689 ],-0.8820421000340929
[-3.84916953e-01 -5.51439100e-06],[1.877409],[ 9.26829619e-01 -3.75482167e-01 -5.51439100e-06],-0.15168551282231654
[-3.93389610e-01 -6.92987215e-06],[1.9166054],[ 9.23615059e-01 -3.83321306e-01 -6.92987215e-06],-0.15842848853473168
[-3.90001937e-01 -5.70414644e-06],[1.9009496],[ 9.24908324e-01 -3.80190206e-01 -5.70414644e-06],-0.1557148974729996
[-6.66647411e+00 -5.25795856e-06],[1.8698623],[ 9.27439730e-01 -3.73972655e-01 -5.25795856e-06],-0.15040649174199044
[-19.22466301  -0.16648642],[1.9815997],[ 0.93046839 -0.36637218 -0.16648642],-0.1422497113173809
[-18.78815702  -1.90825943],[1.6345754],[ 0.99811568  0.06136033 -1.90825943],-0.5428120799888139
[-4.00042836e-01 -7.88717524e-06],[1.9472873],[ 9.21044312e-01 -3.89457797e-01 -7.88717524e-06],-0.1638258830676658
[-6.67482660e+00 -6.11027822e-06],[1.9085284],[ 9.24283813e-01 -3.81705951e-01 -6.11027822e-06],-0.15702514571007417
[-34.36832805  -8.        ],[-1.9935187],[-0.98215667 -0.18806453 -8.        ],-12.143332810863294
[ 6.00126025e+00 -3.55467584e-06],[1.3910246],[ 9.60521658e-01 -2.78205220e-01 -3.55467584e-06],-0.08141658588865926
[-28.21545745  -7.45993589],[-1.5719662],[-0.99826728 -0.05884242 -7.45993589],-12.12015257834266
[-12.67982483  -1.11050268],[1.6535909],[ 0.99357097 -0.11321098 -1.11050268],-0.179043888467999
[-12.96908376  -0.02055535],[1.9761591],[ 0.92000106 -0.39191588 -0.02055535],-0.1653127647342319
[-6.68277289e+00 -1.03893662e-05],[1.9451897],[ 9.21221520e-01 -3.89038445e-01 -1.03893662e-05],-0.1634535820222766
[-39.15719446  -4.34585432],[1.3829455],[ 0.1124752  -0.99365453 -4.34585432],-3.0189257861593157
[-6.66447455e+00 -6.43339421e-06],[1.8605855],[ 9.28185658e-01 -3.72117433e-01 -6.43339421e-06],-0.1488430176698738
[-38.09717796  -2.39175981],[0.9175333],[ 0.92181236 -0.38763639 -2.39175981],-0.6181271712608039
[-3.77948870e-01 -5.00664092e-06],[1.8450732],[ 9.29423488e-01 -3.69014879e-01 -5.00664092e-06],-0.14624945423115632
[ 5.89015816e+00 -6.62959223e-06],[1.9149303],[ 9.23753938e-01 -3.82986504e-01 -6.62959223e-06],-0.15813703504716636
[-17.06825401  -7.45594957],[-1.772006],[-0.20895435  0.9779254  -7.45594957],-10.752480198002141
[-4.03600113e-01 -1.34571083e-05],[1.9636556],[ 9.19653078e-01 -3.92731735e-01 -1.34571083e-05],-0.16674845117388218
[-12.31720204  -2.51471083],[1.6657124],[ 0.96911778  0.2465983  -2.51471083],-1.0670044999157906
[-6.68409869e+00 -1.03619531e-05],[1.951295],[ 9.20704921e-01 -3.90259462e-01 -1.03619531e-05],-0.16453867861441268
[ 5.88508073e+00 -7.83403696e-06],[1.9383581],[ 9.21797450e-01 -3.87671848e-01 -7.83403696e-06],-0.16224417799020815
